0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
[욕설],미드여신이렐리아<-,"패드립,","욕설,",혐오발언,,,,,,,,,,,
[욕설],롤은,패드립이,기본,옵션인듯..,[1],사진,,,,,,,,,
[욕설],별공주,<<,일겜트롤러,,,,,,,,,,,,
[욕설],칼바람,욕설,및,트롤유저,신고[개인팟TV],사진,,,,,,,,,
[욕설],개,악질새끼들,박제,사진,,,,,,,,,,,
[욕설],고의트롤러,및,패드리퍼,/,독산정다운,사진,,,,,,,,,
[욕설],롤,고의트롤,및,패드립,/,독산정다운,[1],사진,,,,,,,
[욕설],롤,패드립,및,패작,/독산정다운,사진,,,,,,,,,
[욕설],롤,패작,패드립,/,아이디,독산정다운,사진,,,,,,,,
[욕설],롤,패작러,및,패드립,사진,,,,,,,,,,
[욕설],거기,냠냠,<----본캐,플레,운운하는,패드립퍼,[1],사진,,,,,,,
[욕설],이런,고의트롤애들,대처,어케해야함?,너어는정말나빠,<--닉,[2],사진,,,,,,,
[욕설],ZEROTWO,DAISUKI,고의트롤러,박제,,,,,,,,,,,
[욕설],seeeeexxx,트롤후탈주,박제,,,,,,,,,,,,
[욕설],엄마,나,피없어,<--,고의트롤,[1],,,,,,,,,
[욕설],"[패드립,혐오발언]",ID,":두부싫어요,",회색롱스톤,[2],사진,,,,,,,,,
[욕설],아프리카tv,귤지컬,고의성,탈주,,,,,,,,,,,
[욕설],THE,RED썬,<<,ㅋㅋㅋ한심한,방구석,여포,사진,,,,,,,,
[욕설],"[리폿/선픽벤,1,2,3,5단계]","닭내장에소주,","니츼향아님,",블리츠,"근혜크,","승부사에이스,","요들번개전사,","이정은스승제자,","할멈처럼영감얻지,","싹싹비누,",롤인성,실태조사,비디오,,
[욕설],유학생1호<--고의트롤조심하세요,사진,,,,,,,,,,,,,
[욕설],꽃미녀발광놈,<<<,템,다,팔고,미드로,달리는,쓰레기,,,,,,,
[욕설],drx,김부식<-패드립,"유저,",취했나봐,황인욱,<-,욕설유저,사진,,,,,,,
[욕설],롤하는놈들보면,게임은질병맞음,,,,,,,,,,,,,
[욕설],롤하는,놈들은,전부다찐1따뿐인듯,프로게이머와꾸만봐도답나옴,,,,,,,,,,,
[욕설],이,샠,만나면,닷지하삼,,,,,,,,,,,
[욕설],일반게임,4인큐로,이유,없이,욕하고,패드립,+,15서렌,사진,,,,,,
[욕설],NINAJALHASEYO,님,쪽팔린줄아세요,4대5이기고,욕하고나간블츠,ㅋ,사진,,,,,,,,
[욕설],저격글입니다.,사진,,,,,,,,,,,,,
[욕설],주약동게임천재,<--,패드립,욕설,고소갑니다.,[3],사진,,,,,,,,
[욕설],고민없을나이18,고의트롤,,,,,,,,,,,,,
[욕설],24031,<<,고의트롤,쓰레기,,,,,,,,,,,
[욕설],걍,아래티어긴,한데,만나면,조심해라(괴불쥐2),사진,,,,,,,,,
[욕설],패작러,듀오,,,,,,,,,,,,,
[욕설],"조두순,나영이",관련,"욕설,패작",듀오,두팀,박제합니다,[3],사진,,,,,,,
[욕설],골드구간,정글러,박제요,,,,,,,,,,,,
[욕설],플레구간,남성비하,페미,유저,박제,[1],사진,,,,,,,,
[욕설],승궈니도,힘드러,-,고의,트롤,,,,,,,,,,
[욕설],레넥토이져러스,유저의,욕설(패드립),신고,사진,,,,,,,,,,
[욕설],끠즐랑,<-마스터128점,이동욱<-,본캐라고,사칭,,,,,,,,,,
[욕설],기모링,괴물쥐팬<부모욕,패드립,인성수준,사진,,,,,,,,,,
[욕설],LightTheWorld,패작,박제,사진,,,,,,,,,,,
[욕설],욕설박제,게임이,끝나도,욕은,끝나지않지,사진,,,,,,,,,
[욕설],롤,비매너,유저,박제좀요,,,,,,,,,,,
[욕설],수준개소름<M뒤셋,사진,,,,,,,,,,,,,
[욕설],뽀송뽀송개뽀송<M뒤셋,사진,,,,,,,,,,,,,
[욕설],행주대첩<M뒤짐,[1],사진,,,,,,,,,,,,
[욕설],06년생,망나니,<<플레1구간,고의트롤러,,,,,,,,,,,
[욕설],대리유저박제,->,kataking,사진,,,,,,,,,,,
[욕설],ID,:,동전꼽기,",",두산위브,9단지,악질적인,패작러들,,,,,,,
[욕설],패드립,4인큐,트롤러,박제,사진,,,,,,,,,,
[욕설],XO,for,life,부모,칼로,찌른다는,패드리퍼,박제,및,고소,진행합니다,[13],사진,,
[욕설],게복치,손가락,1:1,털리고,빤쓰런함,[1],,,,,,,,,
[욕설],패드립,박제,[1],사진,,,,,,,,,,,
[욕설],브론즈,구간,패작,듀오,사진,,,,,,,,,,
[욕설],우,페,패드립,박제,사진,,,,,,,,,,
[욕설],나츠메이,패드립,박제,사진,,,,,,,,,,,
[욕설],악훌전,<<<,고의트롤,,,,,,,,,,,,
[욕설],100퍼센트,대리충,박제,,,,,,,,,,,,
[욕설],잠실사는이창훈,<<,고의,트롤러,,,,,,,,,,,
[욕설],한놈만잡는인간<<<<<킬먹었다,패드립,시전,후,1:1,신청,,,,,,,,,
[욕설],여물어주셈>>칼바람,하시는분들,조심하세요,,,,,,,,,,,,
[욕설],상습,탈주,트롤러,정지,안당함,사진,,,,,,,,,
[욕설],Fyin,-,고의트롤,우물잠수,,,,,,,,,,,
[욕설],징전당신은대체,<ㅡ,잠수충,똥쓰레기,차단,ㄱ,,,,,,,,,
[욕설],패드립,박제합니다,^^,사진,,,,,,,,,,,
[욕설],조두순,사건(나영이,사건),희화화및,모욕,사진,,,,,,,,,
[욕설],위안부,운운하는,정병,듀오,박제,사진,,,,,,,,,
[욕설],웃음소리왜이럐,<<,욕설,트롤,[1],사진,,,,,,,,,
[욕설],부캐부캐다123,<--,상습탈주,,,,,,,,,,,,
[욕설],porshe,targa,패드립,박제,사진,,,,,,,,,,
[욕설],되지새끼<엄마없음2,사진,,,,,,,,,,,,,
[욕설],EZ,민<엄마없음.,사진,,,,,,,,,,,,
[욕설],아칼리로개패기<니어매먹음장애련,사진,,,,,,,,,,,,,
[욕설],"롤끊으면성공,",제발미드좀봐주셈,<<현지드립,욕설,시비충,박제,사진,,,,,,,,
[욕설],리오레랄까,<<,다딱거리는,600판,현지인,박제,사진,,,,,,,,
[욕설],난진짜잘했다<잠수욕설,사진,,,,,,,,,,,,,
