0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
[욕설],턱돼지,<,소통,불가능한,사회부적응자,,,,,,,,,,,,,,,,,,
[욕설],핑찍으면우물잠수,<<,패드립,박제,사진,,,,,,,,,,,,,,,,,,
[욕설],패드립,룰루,브실,구간,,,,,,,,,,,,,,,,,,,
[욕설],"이원일,",Visual,Jockey,<<,정치만,할,줄아는,무능,듀오,,,,,,,,,,,,,,
[욕설],mvp맨,사진,,,,,,,,,,,,,,,,,,,,,
[욕설],갱스터는살아있다,<-,정신병자,홍어,[1],사진,,,,,,,,,,,,,,,,,
[욕설],왕만두빵,군만두빵,패드리퍼,듀오님들,[1],,,,,,,,,,,,,,,,,,
[욕설],'예담밈',박제,신고,,,,,,,,,,,,,,,,,,,,
[욕설],'유하님',칼바람,패드리퍼!~,사진,,,,,,,,,,,,,,,,,,,
[욕설],'드줄때만이김',박제,신고,,,,,,,,,,,,,,,,,,,,
[욕설],매운,K,-,가스라이팅,,,,,,,,,,,,,,,,,,,
[욕설],변태싸이코똘아이/위험한조동원,변태싸이코똘아이/위험한조동원,변태싸이코똘아이/위험한조동원,변태싸이코똘아이/위험한조동원,변태싸이코똘아이/위험한조동원,변태싸이코똘아이/위험한조동원,변태싸이코똘아이/위험한조동원,변태싸이코똘아이/위험한조동원,변태싸이코똘아이/위험한조동원,,,,,,,,,,,,,,
[욕설],4Cushion,-,왜,엄한데에서,화풀이?,,,,,,,,,,,,,,,,,,
[욕설],01087047869,<-,고의적,트롤,(얘,탑,칼리,들고,ㅈㄱㅊㅇ,외침),,,,,,,,,,,,,
[욕설],다이아,사칭범,stanley,randolph,,,,,,,,,,,,,,,,,,,
[욕설],곽대호,곽방덕,듀오,<<<,인성,부족한넘들,,,,,,,,,,,,,,,,,
[욕설],SHAKO,SMOKE<<,ㅋㅋ,추잡하고,더럽네요^^,내용참고,사진,,,,,,,,,,,,,,,,
[욕설],우정,사랑,낭만,<,지능이,몇인지,궁금한,승률,타령충,,,,,,,,,,,,,,
[욕설],지건을배운먀옹이,<,0.9:1,KDA,승률,36%,야스오,보면,도망쳐라,,,,,,,,,,,,,,
[욕설],갓,GraB,갓,사진,,,,,,,,,,,,,,,,,,,
