name,tier,mode,W/L,Champion,Position,Kill,Death,Assist,kill participant,kda,kill participance
그녀에게 가는 날,Platinum 3,솔로랭크,LOSS,Yone,mid,4,4,3,37,1.75,37
그녀에게 가는 날,Platinum 3,솔로랭크,LOSS,Yasuo,mid,4,6,5,29,1.5,29
그녀에게 가는 날,Platinum 3,칼바람,LOSS,Akali,support,14,8,11,83,3.13,83
그녀에게 가는 날,Platinum 3,칼바람,WIN,LeeSin,top,7,3,12,51,6.33,51
그녀에게 가는 날,Platinum 3,칼바람,WIN,Irelia,adc,7,9,11,44,2.0,44
그녀에게 가는 날,Platinum 3,칼바람,WIN,Graves,support,12,4,16,64,7.0,64
그녀에게 가는 날,Platinum 3,솔로랭크,WIN,Blitzcrank,support,3,9,23,54,2.89,54
그녀에게 가는 날,Platinum 3,칼바람,WIN,MasterYi,top,24,10,17,72,4.1,72
그녀에게 가는 날,Platinum 3,칼바람,WIN,MissFortune,jungle,6,4,23,78,7.25,78
그녀에게 가는 날,Platinum 3,칼바람,WIN,Jinx,mid,12,9,17,73,3.22,73
그녀에게 가는 날,Platinum 3,칼바람,LOSS,Akali,adc,4,10,16,57,2.0,57
그녀에게 가는 날,Platinum 3,칼바람,LOSS,Kaisa,adc,13,8,6,73,2.38,73
그녀에게 가는 날,Platinum 3,칼바람,WIN,Lux,adc,5,2,32,86,8.5,86
그녀에게 가는 날,Platinum 3,칼바람,LOSS,Irelia,top,8,8,6,93,1.75,93
그녀에게 가는 날,Platinum 3,칼바람,WIN,Kaisa,jungle,17,10,12,76,2.9,76
그녀에게 가는 날,Platinum 3,칼바람,WIN,Jhin,top,12,7,21,57,4.71,57
그녀에게 가는 날,Platinum 3,칼바람,LOSS,Twitch,support,8,17,19,52,1.59,52
그녀에게 가는 날,Platinum 3,칼바람,WIN,Lux,top,12,11,25,71,3.36,71
그녀에게 가는 날,Platinum 3,칼바람,LOSS,XinZhao,top,7,16,29,57,2.25,57
그녀에게 가는 날,Platinum 3,칼바람,LOSS,Vayne,support,4,10,13,43,1.7,43
그녀에게 가는 날,Platinum 3,칼바람,WIN,Yasuo,top,17,7,11,64,4.0,64
그녀에게 가는 날,Platinum 3,칼바람,WIN,Samira,jungle,16,5,5,57,4.2,57
그녀에게 가는 날,Platinum 3,칼바람,WIN,Irelia,jungle,26,9,10,80,4.0,80
그녀에게 가는 날,Platinum 3,칼바람,WIN,JarvanIV,support,9,11,26,76,3.18,76
그녀에게 가는 날,Platinum 3,솔로랭크,LOSS,Yone,mid,0,1,0,0,0.0,0
그녀에게 가는 날,Platinum 3,솔로랭크,WIN,Irelia,mid,9,3,6,60,5.0,60
그녀에게 가는 날,Platinum 3,솔로랭크,WIN,Yasuo,mid,17,3,6,49,7.67,49
그녀에게 가는 날,Platinum 3,솔로랭크,WIN,Irelia,top,5,6,6,39,1.83,39
그녀에게 가는 날,Platinum 3,솔로랭크,WIN,Yone,mid,4,3,3,20,2.33,20
R            nnm,Unranked,일반,WIN,Kayn,jungle,8,0,7,56,5.0,56
R            nnm,Unranked,일반,WIN,Diana,mid,8,5,12,41,4.0,41
R            nnm,Unranked,일반,LOSS,Diana,mid,4,5,2,60,1.2,60
R            nnm,Unranked,일반,LOSS,Diana,mid,1,0,2,43,3.0,43
R            nnm,Unranked,일반,LOSS,Diana,mid,11,5,7,55,3.6,55
R            nnm,Unranked,일반,WIN,Diana,mid,11,4,10,53,5.25,53
R            nnm,Unranked,일반,LOSS,Diana,mid,5,4,3,62,2.0,62
R            nnm,Unranked,일반,LOSS,Diana,mid,2,7,2,44,0.57,44
R            nnm,Unranked,일반,WIN,Jinx,adc,7,4,12,44,4.75,44
R            nnm,Unranked,일반,LOSS,Morgana,support,5,4,15,51,5.0,51
R            nnm,Unranked,일반,LOSS,Morgana,adc,9,7,8,94,2.43,94
R            nnm,Unranked,일반,WIN,Morgana,adc,5,5,16,51,4.2,51
R            nnm,Unranked,일반,WIN,Jinx,adc,15,3,7,56,7.33,56
R            nnm,Unranked,일반,LOSS,Jinx,adc,3,6,7,56,1.67,56
R            nnm,Unranked,일반,LOSS,Jinx,mid,0,7,1,10,0.14,10
R            nnm,Unranked,일반,WIN,Fiora,top,6,7,1,18,1.0,18
R            nnm,Unranked,일반,WIN,Diana,mid,10,1,2,40,2.0,40
R            nnm,Unranked,일반,LOSS,Kayn,jungle,10,3,5,83,5.0,83
R            nnm,Unranked,일반,WIN,Diana,mid,19,2,8,53,3.5,53
R            nnm,Unranked,칼바람,LOSS,Yone,adc,7,18,11,42,1.0,42
R            nnm,Unranked,칼바람,LOSS,Leona,support,5,7,17,52,3.14,52
R            nnm,Unranked,칼바람,LOSS,Lux,mid,18,8,31,74,6.13,74
R            nnm,Unranked,일반,LOSS,Diana,mid,10,6,4,50,2.33,50
R            nnm,Unranked,일반,LOSS,Morgana,support,11,9,7,72,2.0,72
R            nnm,Unranked,일반,LOSS,Diana,mid,6,3,3,36,3.0,36
R            nnm,Unranked,일반,LOSS,Diana,mid,4,3,0,33,1.33,33
R            nnm,Unranked,칼바람,LOSS,Lulu,mid,0,3,8,32,2.67,32
R            nnm,Unranked,일반,WIN,Diana,mid,7,4,8,37,3.75,37
R            nnm,Unranked,일반,WIN,Elise,jungle,15,0,8,47,3.0,47
R            nnm,Unranked,일반,WIN,Diana,mid,14,3,5,54,6.33,54
