0,1,2,3,4,5,6,7,8
oneway yun,Bronze 2,LOSS,Ryze,support,10 , 9 , 16,2.89
oneway yun,Bronze 2,LOSS,MasterYi,jungle,17 , 8 , 3,2.50
oneway yun,Bronze 2,WIN,Karma,support,3 , 5 , 25,5.60
oneway yun,Bronze 2,WIN,Thresh,support,2 , 7 , 28,4.29
oneway yun,Bronze 2,LOSS,Akali,mid,13 , 6 , 1,2.33
oneway yun,Bronze 2,WIN,Sylas,mid,10 , 10 , 10,2.00
oneway yun,Bronze 2,LOSS,Thresh,support,3 , 7 , 14,2.43
oneway yun,Bronze 2,WIN,Morgana,jungle,0 , 8 , 13,1.63
oneway yun,Bronze 2,RE,Kaisa,adc,2 , 0 , 0,2.00
oneway yun,Bronze 2,WIN,Samira,adc,7 , 4 , 5,3.00
oneway yun,Bronze 2,WIN,Ekko,jungle,9 , 2 , 12 ,0.50
oneway yun,Bronze 2,WIN,Poppy,jungle,12 , 1 , 10 ,2.00
oneway yun,Bronze 2,LOSS,Samira,adc,1 , 6 , 0,0.17
oneway yun,Bronze 2,LOSS,Ezreal,adc,3 , 3 , 3,2.00
oneway yun,Bronze 2,LOSS,Kaisa,adc,7 , 5 , 3,2.00
oneway yun,Bronze 2,WIN,Samira,adc,13 , 7 , 2,2.14
oneway yun,Bronze 2,WIN,Samira,adc,6 , 6 , 3,1.50
oneway yun,Bronze 2,WIN,Samira,adc,10 , 2 , 10 ,0.00
oneway yun,Bronze 2,WIN,Samira,adc,14 , 5 , 8,4.40
oneway yun,Bronze 2,WIN,Samira,adc,3 , 5 , 4,1.40
oneway yun,Bronze 2,LOSS,Samira,adc,27 , 6 , 2,4.83
oneway yun,Bronze 2,WIN,Sivir,adc,7 , 2 , 13 ,0.00
oneway yun,Bronze 2,LOSS,Samira,adc,10 , 6 , 6,2.67
oneway yun,Bronze 2,LOSS,Ezreal,adc,12 , 11 , 15,2.45
oneway yun,Bronze 2,LOSS,Poppy,jungle,5 , 6 , 6,1.83
oneway yun,Bronze 2,WIN,DrMundo,jungle,7 , 1 , 10 ,7.00
oneway yun,Bronze 2,WIN,Morgana,jungle,16 , 6 , 24,6.67
oneway yun,Bronze 2,LOSS,Elise,jungle,5 , 2 , 2,3.50
oneway yun,Bronze 2,LOSS,Akali,mid,8 , 9 , 3,1.22
oneway yun,Bronze 2,LOSS,Ezreal,adc,2 , 6 , 5,1.17
열차는칙칙폭폭,Bronze 1,WIN,Jhin,jungle,11 , 4 , 13,6.00
열차는칙칙폭폭,Bronze 1,LOSS,Tryndamere,mid,11 , 12 , 11,1.83
열차는칙칙폭폭,Bronze 1,WIN,Lucian,jungle,18 , 8 , 10,3.50
열차는칙칙폭폭,Bronze 1,LOSS,Zoe,mid,13 , 8 , 20,4.13
열차는칙칙폭폭,Bronze 1,LOSS,Jayce,jungle,22 , 9 , 8,3.33
열차는칙칙폭폭,Bronze 1,LOSS,Darius,jungle,8 , 13 , 15,1.77
열차는칙칙폭폭,Bronze 1,LOSS,Zeri,support,12 , 8 , 10,2.75
열차는칙칙폭폭,Bronze 1,WIN,Pyke,top,22 , 9 , 12,3.78
열차는칙칙폭폭,Bronze 1,WIN,TwistedFate,mid,6 , 14 , 20,1.86
열차는칙칙폭폭,Bronze 1,LOSS,Pyke,support,16 , 12 , 9,2.08
열차는칙칙폭폭,Bronze 1,WIN,Zoe,top,18 , 11 , 23,3.73
열차는칙칙폭폭,Bronze 1,WIN,Jax,top,22 , 5 , 8,6.00
열차는칙칙폭폭,Bronze 1,LOSS,Ezreal,top,5 , 12 , 21,2.17
열차는칙칙폭폭,Bronze 1,LOSS,Aphelios,jungle,8 , 6 , 15,3.83
열차는칙칙폭폭,Bronze 1,LOSS,Caitlyn,mid,3 , 8 , 11,1.75
열차는칙칙폭폭,Bronze 1,WIN,Senna,jungle,10 , 8 , 22,4.00
열차는칙칙폭폭,Bronze 1,LOSS,Jax,top,9 , 15 , 7,1.07
열차는칙칙폭폭,Bronze 1,WIN,Zed,support,11 , 7 , 13,3.43
열차는칙칙폭폭,Bronze 1,WIN,Zed,adc,25 , 16 , 22,2.94
열차는칙칙폭폭,Bronze 1,LOSS,Akali,support,24 , 14 , 18,3.00
열차는칙칙폭폭,Bronze 1,WIN,Yasuo,adc,8 , 14 , 10,1.29
열차는칙칙폭폭,Bronze 1,LOSS,Jax,mid,8 , 18 , 22,1.67
