유저명,티어,승패,챔피언,포지션,Kill,Death,Assist,킬관여율
DHDL,Platinum 4,LOSS,LeeSin,jungle,8 , 4 , 9,4.25
DHDL,Platinum 4,WIN,Diana,jungle,10 , 8 , 11,2.63
DHDL,Platinum 4,LOSS,Kaisa,adc,11 , 7 , 5,2.29
DHDL,Platinum 4,WIN,Draven,adc,9 , 4 , 17,6.50
DHDL,Platinum 4,WIN,Jhin,adc,8 , 0 , 1,9.00
DHDL,Platinum 4,LOSS,Aphelios,adc,5 , 5 , 4,1.80
DHDL,Platinum 4,LOSS,Kindred,jungle,8 , 15 , 17,1.67
DHDL,Platinum 4,WIN,Talon,jungle,3 , 4 , 11,3.50
DHDL,Platinum 4,WIN,Belveth,jungle,9 , 4 , 4,3.25
DHDL,Platinum 4,LOSS,Graves,jungle,4 , 8 , 6,1.25
DHDL,Platinum 4,LOSS,Azir,top,5 , 7 , 6,1.57
DHDL,Platinum 4,LOSS,Yone,top,7 , 11 , 2,0.82
DHDL,Platinum 4,LOSS,TwistedFate,mid,3 , 5 , 4,1.40
DHDL,Platinum 4,WIN,Katarina,mid,9 , 6 , 4,2.17
DHDL,Platinum 4,LOSS,Zeri,adc,3 , 6 , 4,1.17
DHDL,Platinum 4,WIN,Vayne,adc,12 , 3 , 8,6.67
DHDL,Platinum 4,LOSS,Lucian,adc,6 , 5 , 6,2.40
DHDL,Platinum 4,LOSS,LeeSin,jungle,4 , 4 , 3,1.75
DHDL,Platinum 4,LOSS,Belveth,jungle,2 , 9 , 1,0.33
DHDL,Platinum 4,WIN,Nidalee,jungle,4 , 1 , 5,9.00
DHDL,Platinum 4,WIN,MonkeyKing,jungle,6 , 3 , 6,4.00
DHDL,Platinum 4,WIN,Graves,jungle,14 , 3 , 13,9.00
DHDL,Platinum 4,WIN,Khazix,jungle,15 , 7 , 8,3.29
DHDL,Platinum 4,WIN,Nidalee,jungle,10 , 3 , 10,6.67
DHDL,Platinum 4,LOSS,Katarina,mid,3 , 8 , 2,0.63
DHDL,Platinum 4,LOSS,Orianna,mid,4 , 4 , 1,1.25
DHDL,Platinum 4,WIN,TwistedFate,mid,2 , 3 , 12,4.67
DHDL,Platinum 4,WIN,Katarina,mid,7 , 1 , 5 ,2.00
DHDL,Platinum 4,LOSS,Braum,jungle,2 , 7 , 14,2.29
DHDL,Platinum 4,WIN,MasterYi,jungle,16 , 14 , 10,1.86
우리정글맨날늦어,Silver 4,WIN,Samira,top,8 , 9 , 22,3.33
우리정글맨날늦어,Silver 4,WIN,Xayah,adc,5 , 5 , 9,2.80
우리정글맨날늦어,Silver 4,LOSS,Vladimir,mid,6 , 15 , 24,2.00
우리정글맨날늦어,Silver 4,WIN,Xayah,adc,7 , 5 , 15,4.40
우리정글맨날늦어,Silver 4,WIN,Kaisa,adc,4 , 8 , 13,2.13
우리정글맨날늦어,Silver 4,LOSS,Annie,mid,7 , 12 , 18,2.08
우리정글맨날늦어,Silver 4,WIN,Kayle,top,5 , 6 , 11,2.67
우리정글맨날늦어,Silver 4,LOSS,Kayle,top,3 , 6 , 2,0.83
우리정글맨날늦어,Silver 4,WIN,MasterYi,top,14 , 16 , 23,2.31
우리정글맨날늦어,Silver 4,LOSS,Caitlyn,mid,10 , 8 , 13,2.88
우리정글맨날늦어,Silver 4,WIN,Cassiopeia,jungle,12 , 4 , 13,6.25
우리정글맨날늦어,Silver 4,LOSS,Kayle,top,0 , 6 , 2,0.33
우리정글맨날늦어,Silver 4,WIN,Kindred,support,11 , 12 , 21,2.67
우리정글맨날늦어,Silver 4,WIN,Kaisa,top,19 , 11 , 22,3.73
우리정글맨날늦어,Silver 4,LOSS,Jax,mid,11 , 10 , 9,2.00
우리정글맨날늦어,Silver 4,WIN,Kayle,top,15 , 14 , 31,3.29
우리정글맨날늦어,Silver 4,WIN,Nami,support,3 , 5 , 19,4.40
우리정글맨날늦어,Silver 4,LOSS,Soraka,top,3 , 7 , 24,3.86
우리정글맨날늦어,Silver 4,LOSS,Senna,top,0 , 5 , 11,2.20
우리정글맨날늦어,Silver 4,LOSS,Teemo,support,5 , 12 , 19,2.00
우리정글맨날늦어,Silver 4,WIN,Akali,jungle,19 , 15 , 10,1.93
우리정글맨날늦어,Silver 4,LOSS,Lux,support,0 , 1 , 4,4.00
우리정글맨날늦어,Silver 4,LOSS,Pyke,top,20 , 17 , 7,1.59
우리정글맨날늦어,Silver 4,WIN,KogMaw,adc,11 , 2 , 11 ,1.00
우리정글맨날늦어,Silver 4,LOSS,Ahri,mid,8 , 7 , 11,2.71
우리정글맨날늦어,Silver 4,LOSS,Zeri,adc,0 , 3 , 0,0.00
우리정글맨날늦어,Silver 4,LOSS,KogMaw,adc,1 , 6 , 1,0.33
우리정글맨날늦어,Silver 4,LOSS,Zeri,adc,3 , 12 , 8,0.92
우리정글맨날늦어,Silver 4,WIN,Lux,mid,2 , 8 , 13,1.88
우리정글맨날늦어,Silver 4,LOSS,Ahri,mid,6 , 6 , 3,1.50
항공과 김보미,Unranked,LOSS,Vayne,support,1 , 8 , 5,0.75
항공과 김보미,Unranked,WIN,Annie,adc,19 , 11 , 21,3.64
항공과 김보미,Unranked,LOSS,Ashe,support,7 , 9 , 24,3.44
항공과 김보미,Unranked,LOSS,Jinx,top,6 , 14 , 23,2.07
항공과 김보미,Unranked,LOSS,Soraka,jungle,6 , 9 , 29,3.89
항공과 김보미,Unranked,LOSS,Fizz,top,5 , 15 , 13,1.20
항공과 김보미,Unranked,WIN,Thresh,top,3 , 11 , 29,2.91
항공과 김보미,Unranked,LOSS,Lissandra,top,6 , 12 , 18,2.00
항공과 김보미,Unranked,WIN,Senna,top,8 , 9 , 23,3.44
항공과 김보미,Unranked,LOSS,Veigar,jungle,5 , 13 , 16,1.62
항공과 김보미,Unranked,WIN,Poppy,top,7 , 14 , 19,1.86
항공과 김보미,Unranked,WIN,Ahri,mid,8 , 11 , 34,3.82
항공과 김보미,Unranked,WIN,Lissandra,jungle,10 , 14 , 28,2.71
항공과 김보미,Unranked,WIN,Maokai,top,8 , 14 , 34,3.00
항공과 김보미,Unranked,LOSS,AurelionSol,top,7 , 19 , 20,1.42
항공과 김보미,Unranked,WIN,Pyke,jungle,12 , 13 , 14,2.00
항공과 김보미,Unranked,WIN,Jinx,top,8 , 9 , 19,3.00
항공과 김보미,Unranked,LOSS,Kennen,jungle,5 , 15 , 18,1.53
항공과 김보미,Unranked,WIN,Malphite,jungle,9 , 12 , 31,3.33
항공과 김보미,Unranked,WIN,Ziggs,jungle,13 , 13 , 40,4.08
항공과 김보미,Unranked,LOSS,Morgana,jungle,8 , 11 , 22,2.73
항공과 김보미,Unranked,WIN,Ashe,mid,10 , 14 , 27,2.64
항공과 김보미,Unranked,LOSS,Ekko,mid,14 , 17 , 19,1.94
항공과 김보미,Unranked,WIN,Nidalee,adc,9 , 4 , 29,9.50
항공과 김보미,Unranked,WIN,Kaisa,mid,9 , 7 , 26,5.00
항공과 김보미,Unranked,WIN,Seraphine,top,2 , 10 , 36,3.80
항공과 김보미,Unranked,WIN,Veigar,top,15 , 12 , 28,3.58
항공과 김보미,Unranked,LOSS,MasterYi,mid,17 , 22 , 11,1.27
항공과 김보미,Unranked,WIN,Lucian,jungle,23 , 15 , 27,3.33
항공과 김보미,Unranked,WIN,Jinx,adc,17 , 11 , 29,4.18
최성현입니다,Silver 1,LOSS,Cassiopeia,top,7 , 14 , 18,1.79
최성현입니다,Silver 1,LOSS,Mordekaiser,mid,11 , 11 , 4,1.36
최성현입니다,Silver 1,LOSS,Leblanc,mid,3 , 10 , 13,1.60
최성현입니다,Silver 1,LOSS,Darius,top,7 , 13 , 4,0.85
최성현입니다,Silver 1,LOSS,Darius,top,6 , 7 , 0,0.86
최성현입니다,Silver 1,LOSS,Graves,adc,3 , 6 , 3,1.00
최성현입니다,Silver 1,LOSS,Renekton,mid,3 , 9 , 0,0.33
최성현입니다,Silver 1,LOSS,Jax,top,4 , 10 , 5,0.90
최성현입니다,Silver 1,WIN,Singed,top,1 , 8 , 9,1.25
최성현입니다,Silver 1,LOSS,Zed,mid,3 , 8 , 2,0.63
최성현입니다,Silver 1,WIN,Senna,jungle,2 , 3 , 7,3.00
최성현입니다,Silver 1,WIN,Warwick,top,14 , 11 , 13,2.45
최성현입니다,Silver 1,WIN,Ashe,mid,2 , 3 , 9,3.67
최성현입니다,Silver 1,LOSS,Zed,adc,5 , 6 , 5,1.67
최성현입니다,Silver 1,LOSS,Velkoz,jungle,4 , 9 , 6,1.11
최성현입니다,Silver 1,LOSS,Udyr,top,3 , 8 , 4,0.88
최성현입니다,Silver 1,WIN,Malphite,jungle,7 , 6 , 8,2.50
최성현입니다,Silver 1,WIN,Rakan,support,4 , 7 , 37,5.86
최성현입니다,Silver 1,WIN,Heimerdinger,top,4 , 5 , 25,5.80
최성현입니다,Silver 1,WIN,Brand,jungle,10 , 7 , 16,3.71
최성현입니다,Silver 1,LOSS,Nautilus,support,0 , 8 , 4,0.50
최성현입니다,Silver 1,LOSS,Blitzcrank,support,1 , 3 , 1,0.67
최성현입니다,Silver 1,WIN,Thresh,support,4 , 1 , 23 ,7.00
최성현입니다,Silver 1,WIN,Renekton,top,12 , 3 , 5,5.67
최성현입니다,Silver 1,WIN,Nautilus,support,3 , 2 , 13,8.00
최성현입니다,Silver 1,WIN,Thresh,support,2 , 4 , 16,4.50
최성현입니다,Silver 1,LOSS,Blitzcrank,support,1 , 6 , 5,1.00
최성현입니다,Silver 1,LOSS,Yasuo,mid,5 , 12 , 10,1.25
최성현입니다,Silver 1,WIN,Jax,top,3 , 8 , 12,1.88
최성현입니다,Silver 1,WIN,Singed,top,5 , 1 , 14 ,9.00
난 조선제일검,Silver 1,LOSS,Yasuo,mid,5 , 6 , 4,1.50
