유저명,티어,승패,챔피언,포지션,Kill,Death,Assist,킬관여율
턱돼지,Bronze 4,WIN,Shyvana,jungle,12 , 0 , 4 ,6.00
턱돼지,Bronze 4,RE,Shyvana,jungle,0 , 0 , 0,0.00
턱돼지,Bronze 4,WIN,Shyvana,jungle,14 , 8 , 24,4.75
턱돼지,Bronze 4,WIN,Shyvana,jungle,16 , 7 , 9,3.57
턱돼지,Bronze 4,LOSS,Shyvana,jungle,11 , 4 , 8,4.75
턱돼지,Bronze 4,LOSS,Shyvana,jungle,4 , 4 , 1,1.25
턱돼지,Bronze 4,LOSS,Brand,adc,6 , 12 , 19,2.08
턱돼지,Bronze 4,LOSS,Xerath,top,2 , 6 , 10,2.00
턱돼지,Bronze 4,WIN,Karthus,top,7 , 7 , 15,3.14
턱돼지,Bronze 4,WIN,Shyvana,jungle,13 , 5 , 12,5.00
턱돼지,Bronze 4,LOSS,Blitzcrank,adc,5 , 10 , 18,2.30
턱돼지,Bronze 4,WIN,Teemo,top,7 , 13 , 9,1.23
턱돼지,Bronze 4,WIN,Jhin,mid,10 , 5 , 15,5.00
턱돼지,Bronze 4,WIN,Chogath,mid,7 , 7 , 17,3.43
턱돼지,Bronze 4,LOSS,Aphelios,support,12 , 12 , 29,3.42
턱돼지,Bronze 4,LOSS,Lillia,jungle,10 , 13 , 15,1.92
턱돼지,Bronze 4,LOSS,Maokai,support,7 , 11 , 23,2.73
턱돼지,Bronze 4,LOSS,Morgana,mid,6 , 7 , 5,1.57
턱돼지,Bronze 4,LOSS,Maokai,adc,7 , 13 , 28,2.69
턱돼지,Bronze 4,WIN,Blitzcrank,support,3 , 15 , 33,2.40
턱돼지,Bronze 4,LOSS,MissFortune,mid,12 , 9 , 26,4.22
턱돼지,Bronze 4,LOSS,Chogath,support,3 , 11 , 21,2.18
턱돼지,Bronze 4,LOSS,Nidalee,jungle,1 , 7 , 15,2.29
턱돼지,Bronze 4,WIN,Malzahar,jungle,8 , 10 , 9,1.70
턱돼지,Bronze 4,LOSS,Xayah,adc,12 , 14 , 19,2.21
턱돼지,Bronze 4,LOSS,Thresh,top,2 , 10 , 15,1.70
턱돼지,Bronze 4,WIN,Nasus,jungle,12 , 9 , 20,3.56
턱돼지,Bronze 4,LOSS,Chogath,top,14 , 17 , 20,2.00
턱돼지,Bronze 4,WIN,Kaisa,top,12 , 5 , 15,5.40
턱돼지,Bronze 4,WIN,Veigar,adc,4 , 6 , 20,4.00
핑찍으면우물잠수,Platinum 1,WIN,Aatrox,top,5 , 3 , 4,3.00
핑찍으면우물잠수,Platinum 1,WIN,Aatrox,top,7 , 2 , 9,8.00
핑찍으면우물잠수,Platinum 1,WIN,Aatrox,top,5 , 2 , 11,8.00
핑찍으면우물잠수,Platinum 1,LOSS,Aatrox,top,3 , 7 , 0,0.43
핑찍으면우물잠수,Platinum 1,LOSS,Volibear,top,2 , 8 , 2,0.50
핑찍으면우물잠수,Platinum 1,WIN,Volibear,top,2 , 2 , 1,1.50
핑찍으면우물잠수,Platinum 1,LOSS,Camille,top,6 , 7 , 6,1.71
핑찍으면우물잠수,Platinum 1,WIN,Aatrox,top,4 , 1 , 11 ,5.00
핑찍으면우물잠수,Platinum 1,WIN,Aatrox,top,5 , 0 , 8 ,3.00
핑찍으면우물잠수,Platinum 1,LOSS,Camille,top,2 , 5 , 2,0.80
핑찍으면우물잠수,Platinum 1,WIN,Camille,top,4 , 1 , 1,5.00
핑찍으면우물잠수,Platinum 1,WIN,Camille,top,10 , 3 , 15,8.33
핑찍으면우물잠수,Platinum 1,LOSS,Camille,top,0 , 5 , 2,0.40
핑찍으면우물잠수,Platinum 1,WIN,Aatrox,support,3 , 6 , 21,4.00
핑찍으면우물잠수,Platinum 1,WIN,Camille,top,6 , 1 , 7 ,3.00
핑찍으면우물잠수,Platinum 1,WIN,Irelia,top,1 , 5 , 1,0.40
핑찍으면우물잠수,Platinum 1,LOSS,Kalista,support,13 , 15 , 10,1.53
